text,category,priority,sentiment
Urgent: The latest update broke the notification feature. Please help.,technical_issue,medium,neutral
urgent: my sync is stuck at 99% and won't finish.,technical_issue,medium,neutral
"Support, I want to cancel my subscription and stop all payments. Fix it ASAP.",billing,medium,negative
"Hi, I was charged twice for my subscription this month. Thanks.",billing,high,positive
"Hi, Do you have a mobile app available? Appreciate it.",general_inquiry,low,positive
I forgot my password and the reset link is expired.,password_reset,high,neutral
"Hello, I need to reset my 2FA and password. Thanks.",password_reset,urgent,positive
"Hello, The latest update broke the notification feature.",technical_issue,medium,neutral
What are your business hours?,general_inquiry,low,neutral
"Support, I want to cancel my subscription and stop all payments. Thanks.",billing,medium,positive
Do you have a mobile app available? Please help.,general_inquiry,low,neutral
I was charged twice for my subscription this month. Fix it ASAP.,billing,high,negative
"Support, The pricing on the website doesn't match my bill. Fix it ASAP.",billing,medium,negative
Urgent: The website is very slow and the images are not loading. Appreciate it.,technical_issue,medium,positive
urgent: i didn't receive the password reset email. fix it asap.,password_reset,high,negative
"Hi, How do I contact sales? Thanks.",general_inquiry,low,positive
My credit card was declined but the money left my account. Thanks.,billing,medium,negative
"Support, Do you have a mobile app available?",general_inquiry,low,neutral
"Hello, The latest update broke the notification feature. Fix it ASAP.",technical_issue,medium,negative
How do I contact sales?,general_inquiry,low,neutral
"Hi, I get an Error 500 when logging into the dashboard.",technical_issue,urgent,negative
"hello, i need to reset my 2fa and password. thanks.",password_reset,urgent,positive
"Hi, Do you have a mobile app available? Appreciate it.",general_inquiry,low,positive
Urgent: What are your business hours? Fix it ASAP.,general_inquiry,low,negative
my account is locked out after too many password attempts. please help.,password_reset,urgent,negative
Urgent: What are your business hours? Fix it ASAP.,general_inquiry,low,negative
"hi, my sync is stuck at 99% and won't finish. please help.",technical_issue,medium,neutral
"Hi, My account is locked out after too many password attempts. Thanks.",password_reset,urgent,negative
"Hi, How do I change my password?",password_reset,high,neutral
how do i contact sales? fix it asap.,general_inquiry,low,negative
"Hello, How do I change my password? Thanks.",password_reset,high,positive
"Hi, Where can I find the user manual? Thanks.",general_inquiry,low,positive
Urgent: I get an Error 500 when logging into the dashboard. Appreciate it.,technical_issue,urgent,negative
"Hello, Do you have a mobile app available? Appreciate it.",general_inquiry,low,positive
"Hi, How do I change my password?",password_reset,high,neutral
My account is locked out after too many password attempts.,password_reset,urgent,negative
How do I contact sales? Please help.,general_inquiry,low,neutral
Urgent: My credit card was declined but the money left my account. Fix it ASAP.,billing,medium,negative
"Hello, The app keeps crashing when I try to upload a photo. Fix it ASAP.",technical_issue,urgent,negative
do you offer discounts for students or non-profits?,general_inquiry,low,neutral
"Hello, Can I get a refund for the last billing cycle? Please help.",billing,high,neutral
urgent: i want to cancel my subscription and stop all payments. please help.,billing,medium,neutral
"Hello, My credit card was declined but the money left my account.",billing,medium,negative
i forgot my password and the reset link is expired. appreciate it.,password_reset,high,positive
Where can I find the user manual? Thanks.,general_inquiry,low,positive
"Hi, I get an Error 500 when logging into the dashboard. Appreciate it.",technical_issue,urgent,negative
"Support, Can I get a refund for the last billing cycle? Thanks.",billing,high,positive
"Hi, The app keeps crashing when I try to upload a photo. Please help.",technical_issue,urgent,negative
"hi, where can i find the user manual? fix it asap.",general_inquiry,low,negative
"Hello, I get an Error 500 when logging into the dashboard.",technical_issue,urgent,negative
"Hi, My account is locked out after too many password attempts. Fix it ASAP.",password_reset,urgent,negative
"Hello, How do I contact sales? Please help.",general_inquiry,low,neutral
"Hello, I can't connect to the server.",technical_issue,urgent,neutral
Urgent: My account is locked out after too many password attempts. Please help.,password_reset,urgent,negative
"Support, How do I contact sales? Please help.",general_inquiry,low,neutral
I need to reset my 2FA and password.,password_reset,urgent,neutral
"Hi, The website is very slow and the images are not loading. Thanks.",technical_issue,medium,positive
"Support, I forgot my password and the reset link is expired. Appreciate it.",password_reset,high,positive
"Support, I get an Error 500 when logging into the dashboard. Appreciate it.",technical_issue,urgent,negative
why is my invoice amount higher than usual?,billing,medium,neutral
Urgent: The pricing on the website doesn't match my bill. Fix it ASAP.,billing,medium,negative
My account is locked out after too many password attempts.,password_reset,urgent,negative
"Hello, I didn't receive the password reset email.",password_reset,high,neutral
"Hello, I get an Error 500 when logging into the dashboard. Thanks.",technical_issue,urgent,negative
Urgent: My credit card was declined but the money left my account. Please help.,billing,medium,negative
"Hello, I want to cancel my subscription and stop all payments. Thanks.",billing,medium,positive
My account is locked out after too many password attempts. Thanks.,password_reset,urgent,negative
How do I change my password? Appreciate it.,password_reset,high,positive
"support, how do i change my password?",password_reset,high,neutral
"support, do you offer discounts for students or non-profits? fix it asap.",general_inquiry,low,negative
"hi, where can i find the user manual? appreciate it.",general_inquiry,low,positive
Urgent: I can't connect to the server. Thanks.,technical_issue,urgent,positive
urgent: i forgot my password and the reset link is expired.,password_reset,high,neutral
"Support, My sync is stuck at 99% and won't finish. Please help.",technical_issue,medium,neutral
"Support, I was charged twice for my subscription this month. Thanks.",billing,high,positive
"Hello, I can't connect to the server.",technical_issue,urgent,neutral
"Hello, My credit card was declined but the money left my account.",billing,medium,negative
Do you offer discounts for students or non-profits?,general_inquiry,low,neutral
The latest update broke the notification feature.,technical_issue,medium,neutral
"Hi, Do you have a mobile app available? Thanks.",general_inquiry,low,positive
Urgent: What are your business hours? Appreciate it.,general_inquiry,low,positive
I need to reset my 2FA and password. Thanks.,password_reset,urgent,positive
urgent: what are your business hours? fix it asap.,general_inquiry,low,negative
"support, do you offer discounts for students or non-profits? appreciate it.",general_inquiry,low,positive
"Support, My account is locked out after too many password attempts.",password_reset,urgent,negative
My credit card was declined but the money left my account. Appreciate it.,billing,medium,negative
"Hello, How do I change my password?",password_reset,high,neutral
"Support, I didn't receive the password reset email. Please help.",password_reset,high,neutral
"hi, i get an error 500 when logging into the dashboard. please help.",technical_issue,urgent,negative
"Hello, What are your business hours? Fix it ASAP.",general_inquiry,low,negative
"Support, I forgot my password and the reset link is expired. Appreciate it.",password_reset,high,positive
"Hello, What are your business hours? Thanks.",general_inquiry,low,positive
"Hello, I need to reset my 2FA and password. Please help.",password_reset,urgent,neutral
"Hello, I need to reset my 2FA and password.",password_reset,urgent,neutral
"Hi, Do you have a mobile app available? Fix it ASAP.",general_inquiry,low,negative
Can I get a refund for the last billing cycle? Thanks.,billing,high,positive
urgent: can i get a refund for the last billing cycle?,billing,high,neutral
I was charged twice for my subscription this month. Thanks.,billing,high,positive
"Hello, How do I contact sales? Fix it ASAP.",general_inquiry,low,negative
"hi, i forgot my password and the reset link is expired. please help.",password_reset,high,neutral
"Support, The pricing on the website doesn't match my bill. Thanks.",billing,medium,positive
Urgent: Do you have a mobile app available?,general_inquiry,low,neutral
"Hello, Can I get a refund for the last billing cycle?",billing,high,neutral
the pricing on the website doesn't match my bill. thanks.,billing,medium,positive
"hello, where can i find the user manual? fix it asap.",general_inquiry,low,negative
"Support, The pricing on the website doesn't match my bill.",billing,medium,neutral
"Hello, How do I change my password? Thanks.",password_reset,high,positive
"Hello, What are your business hours? Please help.",general_inquiry,low,neutral
Urgent: Can I get a refund for the last billing cycle? Fix it ASAP.,billing,high,negative
urgent: my sync is stuck at 99% and won't finish. appreciate it.,technical_issue,medium,positive
Urgent: The pricing on the website doesn't match my bill. Appreciate it.,billing,medium,positive
Urgent: What are your business hours? Fix it ASAP.,general_inquiry,low,negative
Urgent: I get an Error 500 when logging into the dashboard. Please help.,technical_issue,urgent,negative
Urgent: The pricing on the website doesn't match my bill.,billing,medium,neutral
Urgent: I didn't receive the password reset email. Fix it ASAP.,password_reset,high,negative
the pricing on the website doesn't match my bill. appreciate it.,billing,medium,positive
"Support, My credit card was declined but the money left my account. Please help.",billing,medium,negative
"Hi, I didn't receive the password reset email. Please help.",password_reset,high,neutral
urgent: my account is locked out after too many password attempts. appreciate it.,password_reset,urgent,negative
"Support, I didn't receive the password reset email.",password_reset,high,neutral
"Support, I want to cancel my subscription and stop all payments. Thanks.",billing,medium,positive
"Hello, The app keeps crashing when I try to upload a photo. Please help.",technical_issue,urgent,negative
The app keeps crashing when I try to upload a photo. Please help.,technical_issue,urgent,negative
I want to cancel my subscription and stop all payments.,billing,medium,neutral
"Support, I get an Error 500 when logging into the dashboard. Thanks.",technical_issue,urgent,negative
urgent: do you offer discounts for students or non-profits?,general_inquiry,low,neutral
Urgent: Where can I find the user manual? Fix it ASAP.,general_inquiry,low,negative
"Hello, The app keeps crashing when I try to upload a photo. Thanks.",technical_issue,urgent,negative
"Hello, Do you have a mobile app available? Fix it ASAP.",general_inquiry,low,negative
"Support, My credit card was declined but the money left my account.",billing,medium,negative
"Hi, Where can I find the user manual?",general_inquiry,low,neutral
the app keeps crashing when i try to upload a photo. please help.,technical_issue,urgent,negative
"Support, The latest update broke the notification feature. Appreciate it.",technical_issue,medium,positive
"hello, do you have a mobile app available? fix it asap.",general_inquiry,low,negative
Urgent: The app keeps crashing when I try to upload a photo. Fix it ASAP.,technical_issue,urgent,negative
Where can I find the user manual? Please help.,general_inquiry,low,neutral
"Support, My credit card was declined but the money left my account. Appreciate it.",billing,medium,negative
"hello, how do i contact sales? fix it asap.",general_inquiry,low,negative
"Support, The latest update broke the notification feature. Appreciate it.",technical_issue,medium,positive
Why is my invoice amount higher than usual? Fix it ASAP.,billing,medium,negative
"hello, the pricing on the website doesn't match my bill. fix it asap.",billing,medium,negative
"Hi, Do you have a mobile app available? Appreciate it.",general_inquiry,low,positive
"Support, I get an Error 500 when logging into the dashboard. Fix it ASAP.",technical_issue,urgent,negative
"Hi, My sync is stuck at 99% and won't finish. Please help.",technical_issue,medium,neutral
Urgent: The latest update broke the notification feature. Thanks.,technical_issue,medium,positive
"hello, i forgot my password and the reset link is expired. please help.",password_reset,high,neutral
"Hello, I forgot my password and the reset link is expired. Please help.",password_reset,high,neutral
"Support, Why is my invoice amount higher than usual? Please help.",billing,medium,neutral
"hi, my account is locked out after too many password attempts. please help.",password_reset,urgent,negative
Urgent: I can't connect to the server. Appreciate it.,technical_issue,urgent,positive
urgent: what are your business hours? appreciate it.,general_inquiry,low,positive
I forgot my password and the reset link is expired. Please help.,password_reset,high,neutral
"Hello, The website is very slow and the images are not loading. Thanks.",technical_issue,medium,positive
Urgent: The latest update broke the notification feature. Please help.,technical_issue,medium,neutral
Urgent: The latest update broke the notification feature. Appreciate it.,technical_issue,medium,positive
"Hello, My account is locked out after too many password attempts. Thanks.",password_reset,urgent,negative
"Hi, I get an Error 500 when logging into the dashboard. Appreciate it.",technical_issue,urgent,negative
the latest update broke the notification feature. fix it asap.,technical_issue,medium,negative
"Hi, My credit card was declined but the money left my account. Fix it ASAP.",billing,medium,negative
Urgent: My credit card was declined but the money left my account. Please help.,billing,medium,negative
"Support, Do you offer discounts for students or non-profits? Appreciate it.",general_inquiry,low,positive
"Hi, How do I contact sales? Fix it ASAP.",general_inquiry,low,negative
"Hello, The latest update broke the notification feature. Thanks.",technical_issue,medium,positive
my account is locked out after too many password attempts. thanks.,password_reset,urgent,negative
"Hello, I get an Error 500 when logging into the dashboard. Thanks.",technical_issue,urgent,negative
"Support, Why is my invoice amount higher than usual? Thanks.",billing,medium,positive
urgent: my account is locked out after too many password attempts. fix it asap.,password_reset,urgent,negative
"Support, The website is very slow and the images are not loading. Thanks.",technical_issue,medium,positive
"Support, My account is locked out after too many password attempts. Thanks.",password_reset,urgent,negative
How do I change my password?,password_reset,high,neutral
"Hello, The app keeps crashing when I try to upload a photo. Appreciate it.",technical_issue,urgent,negative
"hello, do you offer discounts for students or non-profits? please help.",general_inquiry,low,neutral
i need to reset my 2fa and password. fix it asap.,password_reset,urgent,negative
"Support, The website is very slow and the images are not loading. Thanks.",technical_issue,medium,positive
"Hello, I need to reset my 2FA and password. Please help.",password_reset,urgent,neutral
"hello, what are your business hours? please help.",general_inquiry,low,neutral
How do I change my password? Fix it ASAP.,password_reset,high,negative
"Hello, Do you have a mobile app available? Please help.",general_inquiry,low,neutral
"Support, I forgot my password and the reset link is expired. Appreciate it.",password_reset,high,positive
Urgent: My sync is stuck at 99% and won't finish. Appreciate it.,technical_issue,medium,positive
"support, i didn't receive the password reset email. please help.",password_reset,high,neutral
"Support, I need to reset my 2FA and password. Fix it ASAP.",password_reset,urgent,negative
Urgent: The website is very slow and the images are not loading.,technical_issue,medium,neutral
"Support, I forgot my password and the reset link is expired. Appreciate it.",password_reset,high,positive
Urgent: I get an Error 500 when logging into the dashboard.,technical_issue,urgent,negative
"Hello, I can't connect to the server. Appreciate it.",technical_issue,urgent,positive
"Hi, Do you have a mobile app available? Thanks.",general_inquiry,low,positive
"Hi, The app keeps crashing when I try to upload a photo. Fix it ASAP.",technical_issue,urgent,negative
I forgot my password and the reset link is expired. Appreciate it.,password_reset,high,positive
"Support, The app keeps crashing when I try to upload a photo. Thanks.",technical_issue,urgent,negative
"Hi, Can I get a refund for the last billing cycle?",billing,high,neutral
My sync is stuck at 99% and won't finish. Thanks.,technical_issue,medium,positive
"hello, i want to cancel my subscription and stop all payments. appreciate it.",billing,medium,positive
Urgent: What are your business hours?,general_inquiry,low,neutral
The app keeps crashing when I try to upload a photo. Please help.,technical_issue,urgent,negative
"Hi, I want to cancel my subscription and stop all payments. Thanks.",billing,medium,positive
Urgent: Why is my invoice amount higher than usual? Thanks.,billing,medium,positive
Urgent: I want to cancel my subscription and stop all payments. Fix it ASAP.,billing,medium,negative
Urgent: I get an Error 500 when logging into the dashboard. Fix it ASAP.,technical_issue,urgent,negative
"hello, i need to reset my 2fa and password. please help.",password_reset,urgent,neutral
Urgent: My sync is stuck at 99% and won't finish. Fix it ASAP.,technical_issue,medium,negative
"Hi, What are your business hours? Appreciate it.",general_inquiry,low,positive
"hello, how do i contact sales?",general_inquiry,low,neutral
I get an Error 500 when logging into the dashboard. Fix it ASAP.,technical_issue,urgent,negative
"support, my credit card was declined but the money left my account. fix it asap.",billing,medium,negative
my credit card was declined but the money left my account.,billing,medium,negative
I get an Error 500 when logging into the dashboard. Appreciate it.,technical_issue,urgent,negative
How do I change my password? Thanks.,password_reset,high,positive
"Hello, How do I contact sales? Fix it ASAP.",general_inquiry,low,negative
"Support, My credit card was declined but the money left my account. Thanks.",billing,medium,negative
"Hi, The website is very slow and the images are not loading.",technical_issue,medium,neutral
"Hi, My sync is stuck at 99% and won't finish. Please help.",technical_issue,medium,neutral
"Hello, The app keeps crashing when I try to upload a photo. Fix it ASAP.",technical_issue,urgent,negative
"support, what are your business hours?",general_inquiry,low,neutral
"Hi, What are your business hours?",general_inquiry,low,neutral
"Hi, Where can I find the user manual? Appreciate it.",general_inquiry,low,positive
"Hello, Why is my invoice amount higher than usual? Fix it ASAP.",billing,medium,negative
"support, i can't connect to the server. fix it asap.",technical_issue,urgent,negative
"Hi, Do you have a mobile app available? Fix it ASAP.",general_inquiry,low,negative
"Hello, I was charged twice for my subscription this month. Please help.",billing,high,neutral
"Hi, The website is very slow and the images are not loading. Please help.",technical_issue,medium,neutral
"Support, I need to reset my 2FA and password. Fix it ASAP.",password_reset,urgent,negative
Urgent: Where can I find the user manual? Appreciate it.,general_inquiry,low,positive
"Hello, The app keeps crashing when I try to upload a photo.",technical_issue,urgent,negative
urgent: the pricing on the website doesn't match my bill. fix it asap.,billing,medium,negative
I need to reset my 2FA and password. Appreciate it.,password_reset,urgent,positive
"Hello, My credit card was declined but the money left my account.",billing,medium,negative
Urgent: My account is locked out after too many password attempts. Fix it ASAP.,password_reset,urgent,negative
"support, the pricing on the website doesn't match my bill. please help.",billing,medium,neutral
"Support, Can I get a refund for the last billing cycle? Appreciate it.",billing,high,positive
The pricing on the website doesn't match my bill.,billing,medium,neutral
My account is locked out after too many password attempts. Please help.,password_reset,urgent,negative
"support, i get an error 500 when logging into the dashboard. appreciate it.",technical_issue,urgent,negative
"Hello, Where can I find the user manual? Appreciate it.",general_inquiry,low,positive
"Hello, I can't connect to the server. Appreciate it.",technical_issue,urgent,positive
"Hello, Do you offer discounts for students or non-profits? Thanks.",general_inquiry,low,positive
How do I contact sales? Please help.,general_inquiry,low,neutral
Urgent: How do I contact sales? Appreciate it.,general_inquiry,low,positive
"Hello, My credit card was declined but the money left my account. Please help.",billing,medium,negative
"hello, my sync is stuck at 99% and won't finish. fix it asap.",technical_issue,medium,negative
What are your business hours? Please help.,general_inquiry,low,neutral
Urgent: Can I get a refund for the last billing cycle? Appreciate it.,billing,high,positive
urgent: my account is locked out after too many password attempts. thanks.,password_reset,urgent,negative
"Support, Do you offer discounts for students or non-profits? Thanks.",general_inquiry,low,positive
How do I change my password? Appreciate it.,password_reset,high,positive
"Hello, The website is very slow and the images are not loading. Fix it ASAP.",technical_issue,medium,negative
"Support, I didn't receive the password reset email.",password_reset,high,neutral
The latest update broke the notification feature.,technical_issue,medium,neutral
Urgent: The pricing on the website doesn't match my bill. Please help.,billing,medium,neutral
"Support, How do I change my password? Appreciate it.",password_reset,high,positive
"hello, i need to reset my 2fa and password.",password_reset,urgent,neutral
How do I contact sales? Appreciate it.,general_inquiry,low,positive
I get an Error 500 when logging into the dashboard. Appreciate it.,technical_issue,urgent,negative
"Hi, I need to reset my 2FA and password. Fix it ASAP.",password_reset,urgent,negative
"hello, i didn't receive the password reset email. please help.",password_reset,high,neutral
Urgent: Do you offer discounts for students or non-profits? Fix it ASAP.,general_inquiry,low,negative
What are your business hours?,general_inquiry,low,neutral
"Hello, Can I get a refund for the last billing cycle? Please help.",billing,high,neutral
"Support, I didn't receive the password reset email. Fix it ASAP.",password_reset,high,negative
Urgent: I can't connect to the server. Fix it ASAP.,technical_issue,urgent,negative
"Hello, Do you have a mobile app available?",general_inquiry,low,neutral
"support, the website is very slow and the images are not loading. please help.",technical_issue,medium,neutral
"hi, i get an error 500 when logging into the dashboard. please help.",technical_issue,urgent,negative
Urgent: My account is locked out after too many password attempts. Please help.,password_reset,urgent,negative
"Hi, I get an Error 500 when logging into the dashboard. Fix it ASAP.",technical_issue,urgent,negative
"Support, Why is my invoice amount higher than usual?",billing,medium,neutral
"hi, i didn't receive the password reset email. fix it asap.",password_reset,high,negative
Urgent: I was charged twice for my subscription this month. Appreciate it.,billing,high,positive
"Hi, Do you have a mobile app available?",general_inquiry,low,neutral
urgent: my sync is stuck at 99% and won't finish. appreciate it.,technical_issue,medium,positive
I need to reset my 2FA and password.,password_reset,urgent,neutral
"Hi, My account is locked out after too many password attempts. Appreciate it.",password_reset,urgent,negative
"Hello, My credit card was declined but the money left my account. Thanks.",billing,medium,negative
"Support, How do I change my password?",password_reset,high,neutral
"Hello, Do you offer discounts for students or non-profits? Appreciate it.",general_inquiry,low,positive
"Hello, The app keeps crashing when I try to upload a photo. Thanks.",technical_issue,urgent,negative
"Hello, Why is my invoice amount higher than usual? Fix it ASAP.",billing,medium,negative
"Hi, What are your business hours?",general_inquiry,low,neutral
Urgent: I can't connect to the server.,technical_issue,urgent,neutral
What are your business hours? Thanks.,general_inquiry,low,positive
"Support, Do you offer discounts for students or non-profits? Thanks.",general_inquiry,low,positive
urgent: the app keeps crashing when i try to upload a photo.,technical_issue,urgent,negative
"Support, Do you have a mobile app available? Appreciate it.",general_inquiry,low,positive
my account is locked out after too many password attempts. appreciate it.,password_reset,urgent,negative
"Hi, Do you offer discounts for students or non-profits? Fix it ASAP.",general_inquiry,low,negative
the app keeps crashing when i try to upload a photo.,technical_issue,urgent,negative
where can i find the user manual? fix it asap.,general_inquiry,low,negative
"Support, The app keeps crashing when I try to upload a photo.",technical_issue,urgent,negative
"Hello, Where can I find the user manual? Thanks.",general_inquiry,low,positive
"hello, i didn't receive the password reset email. thanks.",password_reset,high,positive
Urgent: How do I change my password? Appreciate it.,password_reset,high,positive
"Hi, I was charged twice for my subscription this month. Fix it ASAP.",billing,high,negative
"Hi, My sync is stuck at 99% and won't finish. Please help.",technical_issue,medium,neutral
Urgent: I want to cancel my subscription and stop all payments.,billing,medium,neutral
"Support, My account is locked out after too many password attempts. Thanks.",password_reset,urgent,negative
I want to cancel my subscription and stop all payments. Thanks.,billing,medium,positive
"hi, how do i contact sales? please help.",general_inquiry,low,neutral
Urgent: I want to cancel my subscription and stop all payments. Appreciate it.,billing,medium,positive
"Support, Do you have a mobile app available? Thanks.",general_inquiry,low,positive
"Hello, How do I contact sales? Fix it ASAP.",general_inquiry,low,negative
"Hello, My sync is stuck at 99% and won't finish. Fix it ASAP.",technical_issue,medium,negative
"Hi, I want to cancel my subscription and stop all payments. Please help.",billing,medium,neutral
I forgot my password and the reset link is expired. Appreciate it.,password_reset,high,positive
"Support, My account is locked out after too many password attempts. Appreciate it.",password_reset,urgent,negative
I forgot my password and the reset link is expired. Please help.,password_reset,high,neutral
"Hello, The website is very slow and the images are not loading.",technical_issue,medium,neutral
"Hello, I forgot my password and the reset link is expired. Appreciate it.",password_reset,high,positive
"Support, My credit card was declined but the money left my account. Please help.",billing,medium,negative
"Hi, How do I change my password?",password_reset,high,neutral
"Support, How do I contact sales? Appreciate it.",general_inquiry,low,positive
"Hi, I need to reset my 2FA and password. Thanks.",password_reset,urgent,positive
"support, i need to reset my 2fa and password. please help.",password_reset,urgent,neutral
the app keeps crashing when i try to upload a photo. appreciate it.,technical_issue,urgent,negative
"Hello, How do I contact sales? Fix it ASAP.",general_inquiry,low,negative
"Hello, I want to cancel my subscription and stop all payments. Appreciate it.",billing,medium,positive
"Support, The website is very slow and the images are not loading.",technical_issue,medium,neutral
Urgent: I want to cancel my subscription and stop all payments.,billing,medium,neutral
"Hello, I was charged twice for my subscription this month. Appreciate it.",billing,high,positive
"Support, Why is my invoice amount higher than usual? Appreciate it.",billing,medium,positive
"hi, my credit card was declined but the money left my account. thanks.",billing,medium,negative
"Hi, What are your business hours? Thanks.",general_inquiry,low,positive
I want to cancel my subscription and stop all payments. Fix it ASAP.,billing,medium,negative
I didn't receive the password reset email. Fix it ASAP.,password_reset,high,negative
"Support, Why is my invoice amount higher than usual? Fix it ASAP.",billing,medium,negative
"Hi, The website is very slow and the images are not loading. Fix it ASAP.",technical_issue,medium,negative
"Support, I forgot my password and the reset link is expired. Appreciate it.",password_reset,high,positive
"Hello, I didn't receive the password reset email. Thanks.",password_reset,high,positive
"Hello, The app keeps crashing when I try to upload a photo. Please help.",technical_issue,urgent,negative
Urgent: Do you offer discounts for students or non-profits? Please help.,general_inquiry,low,neutral
Urgent: I can't connect to the server. Appreciate it.,technical_issue,urgent,positive
